time,open,high,low,close,Volume,Volume MA
2021-05-21T17:00:00-07:00,0.82,0.828,0.696,0.759,9492933.704309992,13714625.956360495
2021-05-22T17:00:00-07:00,0.759,0.803,0.484,0.624,21835715.22433001,14401383.633858496
2021-05-23T17:00:00-07:00,0.623,0.785,0.589,0.779,18055757.094400026,14649685.280359497
2021-05-24T17:00:00-07:00,0.781,0.85,0.717,0.785,12932121.75438001,14667545.602359498
2021-05-25T17:00:00-07:00,0.787,1.015,0.762,1.01,27509567.524370015,15151440.771359
2021-05-26T17:00:00-07:00,1.011,1.019,0.856,0.9,16676188.834330032,15009080.993358001
2021-05-27T17:00:00-07:00,0.899,0.945,0.77,0.813,12653331.684250006,15296811.544855002
2021-05-28T17:00:00-07:00,0.814,0.843,0.696,0.747,8533807.983569998,15204790.724314
2021-05-29T17:00:00-07:00,0.747,0.839,0.693,0.78,7581572.913889998,14874133.293289002
2021-05-30T17:00:00-07:00,0.78,0.858,0.74,0.847,6480782.863709992,14785449.960759502
2021-05-31T17:00:00-07:00,0.846,0.873,0.799,0.83,5258306.403629987,14546980.055723
2021-06-01T17:00:00-07:00,0.83,0.876,0.809,0.858,6841925.173569991,14325772.944185
2021-06-02T17:00:00-07:00,0.856,0.905,0.84,0.888,6767396.763939993,14345500.934665
2021-06-03T17:00:00-07:00,0.889,0.899,0.772,0.815,8367940.58405998,14316057.101147998
2021-06-04T17:00:00-07:00,0.816,0.889,0.788,0.816,6758218.434049985,14233802.505635496
2021-06-05T17:00:00-07:00,0.815,0.831,0.802,0.821,2953457.042390001,13706465.105535995
2021-06-06T17:00:00-07:00,0.822,0.837,0.731,0.741,5291476.832760004,13068159.486955496
2021-06-07T17:00:00-07:00,0.742,0.758,0.629,0.711,9225396.91392999,11487871.224931996
2021-06-08T17:00:00-07:00,0.713,0.742,0.664,0.737,6204878.373399994,10850729.435381997
2021-06-09T17:00:00-07:00,0.739,0.742,0.677,0.697,4676504.692809992,10204864.039803997
2021-06-10T17:00:00-07:00,0.698,0.793,0.673,0.695,11427531.64372001,10301593.936774496
2021-06-11T17:00:00-07:00,0.691,0.695,0.627,0.658,6715972.973079997,9545606.824211996
2021-06-12T17:00:00-07:00,0.658,0.699,0.64,0.694,4233871.682070005,8854512.553595496
2021-06-13T17:00:00-07:00,0.694,0.717,0.675,0.711,5331022.163059997,8474457.574029496
2021-06-14T17:00:00-07:00,0.711,0.739,0.691,0.711,5304821.023329988,7364220.248977494
2021-06-15T17:00:00-07:00,0.709,0.756,0.687,0.707,9120784.82334001,6986450.048427993
2021-06-16T17:00:00-07:00,0.707,0.731,0.666,0.689,4663346.932809989,6586950.810855992
2021-06-17T17:00:00-07:00,0.689,0.69,0.615,0.647,4357726.593629995,6378146.741358993
2021-06-18T17:00:00-07:00,0.648,0.66,0.623,0.63,2596733.681310001,6128904.779729992
2021-06-19T17:00:00-07:00,0.63,0.636,0.577,0.624,3777450.6215700004,5993738.167622993
2021-06-20T17:00:00-07:00,0.625,0.627,0.462,0.465,10701372.35357,6265891.465119993
2021-06-21T17:00:00-07:00,0.464,0.508,0.371,0.438,16902703.1838,6768930.365631494
2021-06-22T17:00:00-07:00,0.438,0.512,0.415,0.505,7107695.4528999925,6785945.300079495
2021-06-23T17:00:00-07:00,0.503,0.552,0.468,0.526,6183191.442699995,6676707.843011496
2021-06-24T17:00:00-07:00,0.526,0.546,0.466,0.474,5785994.362669984,6628096.639442496
2021-06-25T17:00:00-07:00,0.474,0.491,0.438,0.471,3605824.8217900097,6660715.028412497
2021-06-26T17:00:00-07:00,0.47,0.496,0.454,0.494,2934163.12105,6542849.342826996
2021-06-27T17:00:00-07:00,0.493,0.517,0.484,0.507,3410775.4214299982,6252118.268201997
2021-06-28T17:00:00-07:00,0.508,0.564,0.505,0.55,5007966.172740001,6192272.658168997
2021-06-29T17:00:00-07:00,0.551,0.581,0.515,0.581,5667096.633379995,6241802.255197497
2021-06-30T17:00:00-07:00,0.581,0.598,0.522,0.552,5437723.142849992,5942311.830153996
2021-07-01T17:00:00-07:00,0.551,0.56,0.51,0.538,2706850.16102,5741855.689550996
2021-07-02T17:00:00-07:00,0.538,0.574,0.529,0.561,2717126.811010005,5666018.445997996
