time,open,high,low,close,Volume,Volume MA
2021-03-04T16:00:00-08:00,18.851,19.481,17.939,18.692,1334180.1144,2835263.3943994874
2021-03-05T16:00:00-08:00,18.677,19.082,18.23,18.924,561102.0144,2761871.4143994874
2021-03-06T16:00:00-08:00,18.941,19.5,18.64,19.492,696792.1144,2423285.7143994886
2021-03-07T16:00:00-08:00,19.492,19.847,18.566,19.393,1242315.91431,2179336.1293949904
2021-03-08T16:00:00-08:00,19.393,21.22,19.04,21.123,1359581.91439999,2092334.9543949906
2021-03-09T16:00:00-08:00,21.111,21.298,19.1,19.605,1109812.9144,2033538.6893949914
2021-03-10T16:00:00-08:00,19.615,19.743,18.618,19.341,679405.6144,1976778.479394992
2021-03-11T16:00:00-08:00,19.342,19.47,17.75,18.566,902312.3144,1880356.7093949926
2021-03-12T16:00:00-08:00,18.575,19.87,17.875,19.366,770722.5144,1838835.424395493
2021-03-13T16:00:00-08:00,19.39,19.521,18.439,18.45,574813.21439,1697327.629394994
2021-03-14T17:00:00-07:00,18.465,21.059,17.85,19.875,1633304.31438999,1444896.8793944945
2021-03-15T17:00:00-07:00,19.888,22.05,18.542,21.016,1719727.91439999,1426324.2343944942
2021-03-16T17:00:00-07:00,21.006,21.64,19.55,20.899,1044097.9144,1397765.3593944942
2021-03-17T17:00:00-07:00,20.912,24.499,20.53,22.093,2600307.91439999,1406715.5743944943
2021-03-18T17:00:00-07:00,22.113,23.174,21.478,22.183,1020688.5144,1358914.504394495
2021-03-19T17:00:00-07:00,22.184,22.71,20.729,20.871,896171.0144,1319922.989394495
2021-03-20T17:00:00-07:00,20.877,21.272,19.95,20.503,821073.71439,1293370.489393995
2021-03-21T17:00:00-07:00,20.51,21.204,18.934,19.189,919258.21437,1240876.1093924954
2021-03-22T17:00:00-07:00,19.19,19.876,18.7,18.729,829508.01438,1157199.934391496
2021-03-23T17:00:00-07:00,18.712,19.78,16.475,17.44,968708.91437,1084194.2543899964
2021-03-24T17:00:00-07:00,17.441,17.997,16.658,17.112,1287401.21439,1081855.3093894965
2021-03-25T17:00:00-07:00,17.112,18.99,17.049,18.95,908362.11439,1099218.3143889965
2021-03-26T17:00:00-07:00,18.952,19.218,18.02,18.719,590975.51439,1093927.4843884963
2021-03-27T17:00:00-07:00,18.698,19.87,18.435,19.334,735412.81438,1068582.3293919964
2021-03-28T17:00:00-07:00,19.335,20.986,19.04,20.256,850326.31435,1043119.549389497
2021-03-29T17:00:00-07:00,20.284,20.625,19.44,19.983,834978.41439,1029377.824388997
2021-03-30T17:00:00-07:00,19.983,20.098,18.202,19.099,796659.4144,1035240.5143889971
2021-03-31T17:00:00-07:00,19.1,19.8,18.941,19.48,755299.6144,1027889.8793889971
2021-04-01T17:00:00-07:00,19.493,20.4,19.15,20.318,788465.41432,1028777.0243849971
2021-04-02T17:00:00-07:00,20.305,22.562,19.851,20.049,1889731.71439999,1094522.9493854966
2021-04-03T17:00:00-07:00,20.063,21.941,19.659,21.548,759527.21437,1050834.0943844973
2021-04-04T17:00:00-07:00,21.546,22.194,20.203,21.43,889261.01439,1009310.7493839978
2021-04-05T17:00:00-07:00,21.441,23.188,21.039,21.637,1551184.01439999,1034665.0543839972
2021-04-06T17:00:00-07:00,21.655,22.096,18.732,19.554,1695389.81439999,989419.1493839973
