time,open,high,low,close,Volume,Volume MA
2020-12-24T16:00:00-08:00,23718.61,24770.95,23416,24704.71,15792.4903,18715.379251000024
2020-12-25T16:00:00-08:00,24704.71,26822,24490.01,26475.35,24782.45453,19621.237164500024
2020-12-26T16:00:00-08:00,26482.64,28387,25772.55,26258.65,33627.02181,20853.714945500025
2020-12-27T16:00:00-08:00,26255.16,27477,26086.19,27040.36,21265.72381,21158.907283500022
2020-12-28T16:00:00-08:00,27039.39,27396.77,25833.73,27366.35,20668.11887,21158.944190000024
2020-12-29T16:00:00-08:00,27366.35,29018.26,27311.73,28897.42,28181.51126,21823.058893500023
2020-12-30T16:00:00-08:00,28897.42,29321.9,28000,28990.08,28813.90137,22416.07155650002
2020-12-31T16:00:00-08:00,28990.08,29688.88,28700,29412.84,22211.26707,23095.825562500024
2021-01-01T16:00:00-08:00,29413.29,33300,29039,32225.91,46675.26097,24898.37786650002
2021-01-02T16:00:00-08:00,32222.88,34810,32008.62,33080.66,36951.73089,26290.845214500023
2021-01-03T16:00:00-08:00,33082.84,33666.99,27678,32019.99,46045.40397,27825.854091500027
2021-01-04T16:00:00-08:00,32020.22,34499.67,29891.13,34030.64,42282.58352,28272.47079400003
2021-01-05T16:00:00-08:00,34043.91,37000,33352.54,36859.26,45744.11759,27879.558476500028
2021-01-06T16:00:00-08:00,36859.26,40425,36200,39505.56,50346.31998,29155.411970000026
2021-01-07T16:00:00-08:00,39510.55,41986.37,36565.08,40665.15,48522.49917,30552.65298200002
2021-01-08T16:00:00-08:00,40642.15,41406.94,38800,40257.43,27152.98556,31162.13065200002
2021-01-09T16:00:00-08:00,40257.43,41452.12,34444,38171.57,43736.58493,32062.527250500025
2021-01-10T16:00:00-08:00,38168.89,38273.88,30100,35452.59,102503.17099,36257.80251250002
2021-01-11T16:00:00-08:00,35456.89,36604.51,32500,34038.98,48227.64205,37498.577802500025
2021-01-12T16:00:00-08:00,34035.53,37888,32309.04,37393.66,39608.7518,38656.97702200002
2021-01-13T16:00:00-08:00,37393.67,40127.66,36751.11,39125.14,31868.77514,39460.79126400003
2021-01-14T16:00:00-08:00,39123.05,39697,34298.93,36754.67,36421.07363,40042.72221900003
2021-01-15T16:00:00-08:00,36754.6,37948,35372.59,36006.94,20861.43958,39404.44310750003
2021-01-16T16:00:00-08:00,36004.8,36860,33850.03,35820,19182.0639,39300.26011200003
2021-01-17T16:00:00-08:00,35820.01,37402,34736.46,36624.23,16609.65536,39097.336936500025
2021-01-18T16:00:00-08:00,36624.23,37857,35895.11,35917.28,18904.79354,38633.501050500025
2021-01-19T16:00:00-08:00,35921.91,36415.34,33387.01,35503.09,25445.72251,38465.09210750002
2021-01-20T16:00:00-08:00,35498.85,35628.24,30011,30855.95,50473.12825,39878.18516650003
2021-01-21T16:00:00-08:00,30855.9,33867,28732,32984.93,48155.7361,39952.20892300002
2021-01-22T16:00:00-08:00,32982.66,33488.79,31432.19,32112.01,16139.8291,38911.61383350002
2021-01-23T16:00:00-08:00,32110,33086.53,30931.21,32288.56,13618.81534,37290.28440200002
2021-01-24T16:00:00-08:00,32293.18,34888,31920.8,32261.87,23045.67722,36328.43908700002
2021-01-25T16:00:00-08:00,32260.52,32960.37,30830,32510.82,23535.85317,35218.02586600002
2021-01-26T16:00:00-08:00,32510.82,32584.62,29156,30407.13,46207.09968,35011.06485100002
2021-01-27T16:00:00-08:00,30414.11,34000,29902.14,33488.99,36007.07716,34385.293750500015
2021-01-28T16:00:00-08:00,33487.92,38570.13,31990,34262.11,72641.09119,36659.69903200002
2021-01-29T16:00:00-08:00,34262.11,34900,32852.86,34315.63,21362.16611,35540.97809100002
2021-01-30T16:00:00-08:00,34315.63,34387.75,32200,33137.74,16436.41201,31237.64014200002
2021-01-31T16:00:00-08:00,33137.75,34728.57,32333,33533.19,21975.42815,29925.02944700002
2021-02-01T16:00:00-08:00,33534.39,36000,33450,35512.67,19995.85343,28944.38452850002
2021-02-02T16:00:00-08:00,35513,37723.72,35393.8,37678.37,23781.98375,28540.04495900002
2021-02-03T16:00:00-08:00,37688.42,38769,36156.45,36975,31699.37745,28303.96015000002
2021-02-04T16:00:00-08:00,36976.59,38349,36605.87,38311.49,17842.71613,28153.02397750002
2021-02-05T16:00:00-08:00,38327.09,41000,38250,39265.43,27102.82027,28549.061796000024
2021-02-06T16:00:00-08:00,39266.1,39737.83,37371.35,38871.42,20297.88686,28733.473371000022
2021-02-07T16:00:00-08:00,38871.43,46750,38057.01,46448.1,47934.02472,30184.934930000025
2021-02-08T16:00:00-08:00,46453.66,48200,45020,46514.73,36418.8081,30733.589209500024
2021-02-09T16:00:00-08:00,46514.73,47349.99,43706.86,44850,25818.02588,29500.834091000026
2021-02-10T16:00:00-08:00,44850,48690,44011,47997.91,26222.6191,28404.178241000027
2021-02-11T16:00:00-08:00,47993.6,48912,46300,47408.34,23503.17025,28772.345298500026
2021-02-12T16:00:00-08:00,47408.34,48199,46300,47232.45,12020.8918,28692.449121500027
2021-02-13T16:00:00-08:00,47240.75,49700,47100.13,48680.69,15146.56693,28297.49360700003
2021-02-14T16:00:00-08:00,48667.23,49093.44,45768.46,47936.37,19432.16695,28092.30929600003
2021-02-15T16:00:00-08:00,47935.66,50645,47051.22,49158.71,23053.21991,26934.615307500026
2021-02-16T16:00:00-08:00,49141.43,52640.35,48942.87,52170.01,25675.18586,26418.020742500026
2021-02-17T16:00:00-08:00,52170.01,52549.99,50875,51601.73,15689.417,23570.437033000027
2021-02-18T16:00:00-08:00,51596,56370.05,50725,55983.56,27961.49621,23900.403538000028
2021-02-19T16:00:00-08:00,55983.57,57563.57,54000.1,55923.52,22137.83623,24185.474749000026
2021-02-20T16:00:00-08:00,55921.44,58367,55531.23,57489.16,13530.44874,23763.22577850003
2021-02-21T16:00:00-08:00,57489.16,57577.69,46616,54142.13,49449.18004,25235.89210900003
2021-02-22T16:00:00-08:00,54125.67,54206.22,44888.08,48899.99,72300.59998,27661.822920500028
